skills = 
{
	(id = 6, category = 7, cost = 0, name = "Frost", description = "", icon = 188)
	(id = 134, category = 7, cost = 0, name = "Wilder Kampf", description = "", icon = 107)
	(id = 136, category = 6, cost = 0, name = "Stäbe", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 137, category = 10, cost = 0, name = "Sprache: Thalassisch", description = "", icon = 1)
	(id = 138, category = 10, cost = 0, name = "Sprache: Drachisch", description = "", icon = 1)
	(id = 139, category = 10, cost = 0, name = "Sprache: Dämonisch", description = "", icon = 1)
	(id = 140, category = 10, cost = 0, name = "Sprache: Titanisch", description = "", icon = 1)
	(id = 141, category = 10, cost = 0, name = "Sprache: Alte Sprache", description = "", icon = 1)
	(id = 142, category = 9, cost = 0, name = "Überlebenskunst", description = "", icon = 1)
	(id = 148, category = 9, cost = 0, name = "Pferdreiten", description = "", icon = 1)
	(id = 149, category = 9, cost = 0, name = "Wolfreiten", description = "", icon = 1)
	(id = 150, category = 9, cost = 0, name = "Tigerreiten", description = "", icon = 1)
	(id = 152, category = 9, cost = 0, name = "Widderreiten", description = "", icon = 1)
	(id = 155, category = 9, cost = 0, name = "Schwimmen", description = "", icon = 1)
	(id = 160, category = 6, cost = 0, name = "Zweihandstreitkolben", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 162, category = 6, cost = 0, name = "Unbewaffnet", description = "Eine erhöhte Fertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 163, category = 7, cost = 0, name = "Treffsicherheit", description = "", icon = 126)
	(id = 164, category = 11, cost = 0, name = "Schmiedekunst", description = "Eine hohe Schmiedefertigkeit ermöglicht es Euch, höherstufigere Schmiedepläne zu benutzen. Pläne könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Schmiedepläne oder Ihr erhaltet sie als Questbelohnung.", icon = 335)
	(id = 165, category = 11, cost = 0, name = "Lederverarbeitung", description = "Eine hohe Lederverarbeitungsfertigkeit ermöglicht es Euch, höherstufigere Schnittmuster zu benutzen. Muster könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Schnittmuster oder Ihr erhaltet sie als Questbelohnung.", icon = 346)
	(id = 171, category = 11, cost = 0, name = "Alchimie", description = "Eine hohe Alchimiefertigkeit ermöglicht es Euch, höherstufigere Rezepte zu benutzen. Alchimierezepte könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Rezepte oder Ihr erhaltet sie als Questbelohnung.", icon = 1)
	(id = 172, category = 6, cost = 0, name = "Zweihandäxte", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 173, category = 6, cost = 0, name = "Dolche", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 176, category = 6, cost = 0, name = "Wurfwaffen", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 182, category = 11, cost = 0, name = "Kräuterkunde", description = "Eine hohe Kräuterkundefertigkeit ermöglicht es Euch, schwierigere Kräuter zu ernten. Wenn Ihr ein bestimmtes Kraut nicht ernten könnt, steigert Eure Kräuterkundefertigkeit, indem Ihr in niedrigstufigeren Gebieten leichtere Kräuter erntet.", icon = 1)
	(id = 183, category = 12, cost = 0, name = "ALLGEMEIN (DND)", description = "", icon = 1)
	(id = 184, category = 7, cost = 0, name = "Vergeltung", description = "", icon = 555)
	(id = 185, category = 9, cost = 0, name = "Kochkunst", description = "Eine hohe Kochfertigkeit ermöglicht es Euch, höherstufigere Rezepte zu benutzen. Rezepte könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Kochrezepte oder Ihr erhaltet sie als Questbelohnung.", icon = 1)
	(id = 186, category = 11, cost = 0, name = "Bergbau", description = "Eine hohe Bergbaufertigkeit ermöglicht es Euch, schwierigere Erzvorkommen abzubauen. Wenn Ihr ein bestimmtes Erzvorkommen nicht abbauen könnt, steigert Eure Bergbaufertigkeit, indem Ihr in niedrigstufigeren Gebieten leichtere Erzvorkommen abbaut.", icon = 1)
	(id = 188, category = 7, cost = 0, name = "Tier - Wichtel", description = "", icon = 1)
	(id = 189, category = 7, cost = 0, name = "Tier - Teufelsjäger", description = "", icon = 1)
	(id = 197, category = 11, cost = 0, name = "Schneiderei", description = "Eine hohe Schneiderfertigkeit ermöglicht es Euch, höherstufigere Schnittmuster zu benutzen. Muster könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Schnittmuster oder Ihr erhaltet sie als Questbelohnung.", icon = 341)
	(id = 202, category = 11, cost = 0, name = "Ingenieurskunst", description = "Eine hohe Ingenieursfertigkeit ermöglicht es Euch, höherstufigere Baupläne zu benutzen. Baupläne könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Baupläne oder Ihr erhaltet sie als Questbelohnung.", icon = 333)
	(id = 203, category = 7, cost = 0, name = "Tier - Spinne", description = "", icon = 1)
	(id = 204, category = 7, cost = 0, name = "Tier - Leerwandler", description = "", icon = 1)
	(id = 205, category = 7, cost = 0, name = "Tier - Sukkubus", description = "", icon = 1)
	(id = 206, category = 7, cost = 0, name = "Tier - Höllenbestie", description = "", icon = 1)
	(id = 207, category = 7, cost = 0, name = "Tier - Verdammniswache", description = "", icon = 1)
	(id = 208, category = 7, cost = 0, name = "Tier - Wolf", description = "", icon = 1)
	(id = 209, category = 7, cost = 0, name = "Tier - Katze", description = "", icon = 1)
	(id = 210, category = 7, cost = 0, name = "Tier - Bär", description = "", icon = 1)
	(id = 211, category = 7, cost = 0, name = "Tier - Eber", description = "", icon = 1)
	(id = 212, category = 7, cost = 0, name = "Tier - Krokilisk", description = "", icon = 1)
	(id = 213, category = 7, cost = 0, name = "Tier - Aasvogel", description = "", icon = 1)
	(id = 214, category = 7, cost = 0, name = "Tier - Krebs", description = "", icon = 1)
	(id = 215, category = 7, cost = 0, name = "Tier - Gorilla", description = "", icon = 1)
	(id = 217, category = 7, cost = 0, name = "Tier - Raptor", description = "", icon = 1)
	(id = 218, category = 7, cost = 0, name = "Tier - Weitschreiter", description = "", icon = 1)
	(id = 220, category = 9, cost = 0, name = "Volk - Untote", description = "", icon = 1)
	(id = 226, category = 6, cost = 0, name = "Armbrüste", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 228, category = 6, cost = 0, name = "Zauberstäbe", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 229, category = 6, cost = 0, name = "Stangenwaffen", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 236, category = 7, cost = 0, name = "Tier - Skorpid", description = "", icon = 1)
	(id = 237, category = 7, cost = 0, name = "Arkan", description = "", icon = 125)
	(id = 251, category = 7, cost = 0, name = "Tier - Schildkröte", description = "", icon = 1)
	(id = 253, category = 7, cost = 0, name = "Meucheln", description = "", icon = 514)
	(id = 256, category = 7, cost = 0, name = "Furor", description = "", icon = 561)
	(id = 257, category = 7, cost = 0, name = "Schutz", description = "", icon = 276)
	(id = 261, category = 7, cost = 0, name = "Bestienausbildung", description = "", icon = 1)
	(id = 267, category = 7, cost = 0, name = "Schutz", description = "", icon = 291)
	(id = 270, category = 7, cost = 0, name = "Tier - Allgemein", description = "", icon = 1)
	(id = 293, category = 8, cost = 0, name = "Plattenpanzer", description = "Erlaubt das Tragen von Plattenrüstungen.", icon = 1)
	(id = 313, category = 10, cost = 0, name = "Sprache: Gnomisch", description = "", icon = 1)
	(id = 315, category = 10, cost = 0, name = "Sprache: Trollisch", description = "", icon = 1)
	(id = 333, category = 11, cost = 0, name = "Verzauberkunst", description = "Eine hohe Verzauberungsfertigkeit ermöglicht es Euch, mächtigere Formeln zu benutzen. Verzauberungsformeln könnt Ihr bei Lehrern überall in der Welt erwerben und auch bei toten Gegnern und beim Questen finden.", icon = 1)
	(id = 354, category = 7, cost = 0, name = "Dämonologie", description = "", icon = 90)
	(id = 355, category = 7, cost = 0, name = "Gebrechen", description = "", icon = 88)
	(id = 356, category = 9, cost = 0, name = "Angeln", description = "Eine hohe Angelfertigkeit steigert Eure Chance, Fische in einem Gewässer zu fangen. Wenn Ihr in einem bestimmten Gebiet Probleme habt, Fische zu angeln, versucht es in einem Gebiet mit einer niedrigeren Stufe oder benutzt einen Fischköder.", icon = 1)
	(id = 373, category = 7, cost = 0, name = "Verstärkung", description = "", icon = 19)
	(id = 374, category = 7, cost = 0, name = "Wiederherstellung", description = "", icon = 13)
	(id = 375, category = 7, cost = 0, name = "Elementarkampf", description = "", icon = 62)
	(id = 393, category = 11, cost = 0, name = "Kürschnerei", description = "Eine hohe Kürschnerfertigkeit ermöglicht es Euch, höherstufigere Monster zu häuten. Sobald Euer Fertigkeitswert 100 übersteigt, ist die maximale Stufe der Monster, die Ihr häuten könnt, Euer Fertigkeitswert geteilt durch 5.", icon = 1)
	(id = 413, category = 8, cost = 0, name = "Schwere Rüstung", description = "Erlaubt das Tragen von schweren Rüstungen.", icon = 1)
	(id = 414, category = 8, cost = 0, name = "Leder", description = "Erlaubt das Tragen von Lederrüstungen.", icon = 1)
	(id = 415, category = 8, cost = 0, name = "Stoff", description = "Erlaubt das Tragen von Stoffrüstungen.", icon = 1)
	(id = 433, category = 8, cost = 0, name = "Schild", description = "Erlaubt Euch die Benutzung von Schilden.", icon = 1)
	(id = 473, category = 6, cost = 0, name = "Faustwaffen", description = "Ermöglicht Euch die Verwendung von Faustwaffen. Die Trefferchance wird durch die Kampffertigkeit \"Unbewaffnet\" bestimmt.", icon = 1)
	(id = 533, category = 9, cost = 0, name = "Raptorreiten", description = "", icon = 1)
	(id = 553, category = 9, cost = 0, name = "Roboschreiterlenken", description = "", icon = 1)
	(id = 554, category = 9, cost = 0, name = "Untoten-Reitkunst", description = "", icon = 1)
	(id = 573, category = 7, cost = 0, name = "Wiederherstellung", description = "", icon = 962)
	(id = 574, category = 7, cost = 0, name = "Gleichgewicht", description = "", icon = 225)
	(id = 593, category = 7, cost = 0, name = "Zerstörung", description = "", icon = 547)
	(id = 594, category = 7, cost = 0, name = "Heilig", description = "", icon = 70)
	(id = 613, category = 7, cost = 0, name = "Disziplin", description = "", icon = 685)
	(id = 633, category = 7, cost = 0, name = "Schlossknacken", description = "", icon = 1)
	(id = 653, category = 7, cost = 0, name = "Tier - Fledermaus", description = "", icon = 1)
	(id = 654, category = 7, cost = 0, name = "Tier - Hyäne", description = "", icon = 1)
	(id = 655, category = 7, cost = 0, name = "Tier - Eule", description = "", icon = 1)
	(id = 656, category = 7, cost = 0, name = "Tier - Windnatter", description = "", icon = 1)
	(id = 673, category = 10, cost = 0, name = "Sprache: Gossensprache", description = "", icon = 1)
	(id = 713, category = 9, cost = 0, name = "Kodoreiten", description = "", icon = 317)
	(id = 733, category = 9, cost = 0, name = "Volk - Trolle", description = "", icon = 0)
	(id = 753, category = 9, cost = 0, name = "Volk - Gnome", description = "", icon = 0)
	(id = 754, category = 9, cost = 0, name = "Volk - Menschen", description = "", icon = 0)
	(id = 755, category = 11, cost = 0, name = "Juwelenschleifen", description = "Eine hohe Juwelenschleiferfertigkeit ermöglicht es Euch, höherstufigere Vorlagen zu benutzen. Vorlagen bekommt Ihr bei allen Juwelenschleiferlehrern, von toten Gegnern und als Questbelohnung.", icon = 1768)
	(id = 756, category = 9, cost = 0, name = "Blutelfenvolk", description = "", icon = 0)
	(id = 758, category = -1, cost = 0, name = "Tier  - Ereignis Ferngesteuert", description = "", icon = 0)
	(id = 759, category = 10, cost = 0, name = "Sprache: Draenei", description = "", icon = 0)
	(id = 760, category = 9, cost = 0, name = "Draeneivolk", description = "", icon = 0)
	(id = 761, category = 7, cost = 0, name = "Tier - Teufelswache", description = "", icon = 0)
	(id = 762, category = 9, cost = 0, name = "Reiten", description = "Eine höhere Reitfertigkeit ermöglicht es Euch, auf schnelleren und ausgefalleneren Tieren zu reiten.", icon = 255)
	(id = 763, category = 7, cost = 0, name = "Tier - Drachenfalke", description = "", icon = 1530)
	(id = 764, category = 7, cost = 0, name = "Tier - Netherrochen", description = "", icon = 1577)
	(id = 765, category = 7, cost = 0, name = "Tier - Sporensegler", description = "", icon = 2033)
	(id = 766, category = 7, cost = 0, name = "Tier - Sphärenjäger", description = "", icon = 1952)
	(id = 767, category = -1, cost = 0, name = "Tier - Felshetzer", description = "", icon = 1585)
	(id = 768, category = 7, cost = 0, name = "Tier - Schlange", description = "", icon = 2167)
	(id = 769, category = 7, cost = 22, name = "Intern", description = "", icon = 1775)
}
